year,geography_unit,geography_id,weighted_mean_income,weighted_median_income,weighted_gini_income,lb_weighted_mean_income,ub_weighted_mean_income,lb_weighted_median_income,ub_weighted_median_income,lb_weighted_gini_income,ub_weighted_gini_income
2015,1,1,276566,177555,0.475,274260,279085,176578,178710,0.472,0.478
2011,1,1,236611,135437,0.521,232603,241479,134476,136362,0.515,0.528
2009,1,1,215998,122333,0.532,213635,217961,121541,123240,0.528,0.536
2006,1,1,169486,96415,0.533,167623,171210,95825,96914,0.529,0.537
2003,1,1,145053,77305,0.561,143126,147651,76807,78033,0.556,0.568
2000,1,1,130397,69588,0.562,128523,132414,69119,70086,0.556,0.567
1998,1,1,131775,67750,0.57,129876,133504,67198,68320,0.566,0.575
1996,1,1,107405,58627,0.551,105703,109075,58113,59383,0.546,0.557
1994,1,1,84636,45060,0.564,82993,87102,44502,45410,0.556,0.576
1992,1,1,65245,34079,0.564,64419,66174,33661,34344,0.56,0.568
1990,1,1,43414,22728,0.56,42717,43999,22568,22960,0.555,0.566
